A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
500,500,500,4,0.002,0.058,0.059
500,500,500,4,0.001,0.057,0.058
500,500,500,4,0.001,0.058,0.060
500,500,500,4,0.002,0.062,0.064
500,500,500,4,0.001,0.060,0.061
500,500,500,4,0.002,0.065,0.066
500,500,500,4,0.002,0.060,0.062
500,500,500,4,0.001,0.064,0.065
500,500,500,4,0.002,0.068,0.069
500,500,500,4,0.002,0.065,0.066
500,500,500,4,0.002,0.063,0.065
500,500,500,4,0.001,0.063,0.064
500,500,500,4,0.002,0.064,0.065
500,500,500,4,0.002,0.063,0.065
500,500,500,4,0.002,0.065,0.066
