A_rows,A_columns,B_columns,processes,read,dotprod_write,elapsed
1000,1000,1000,8,0.010,0.358,0.368
1000,1000,1000,8,0.008,0.377,0.385
1000,1000,1000,8,0.008,0.382,0.390
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.389,0.398
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.390,0.399
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.389,0.398
1000,1000,1000,8,0.009,0.389,0.398
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.389,0.398
1000,1000,1000,8,0.009,0.387,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.387,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.415,0.424
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.391,0.400
1000,1000,1000,8,0.009,0.390,0.399
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.387,0.395
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.390,0.398
1000,1000,1000,8,0.009,0.387,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.389,0.397
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.388,0.396
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.391,0.400
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.389,0.398
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.389,0.398
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.389,0.398
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.389,0.398
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.389,0.398
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.394
1000,1000,1000,8,0.009,0.391,0.400
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.387,0.396
1000,1000,1000,8,0.009,0.389,0.398
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.388,0.397
1000,1000,1000,8,0.009,0.387,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
1000,1000,1000,8,0.009,0.386,0.395
